Evidenèní èíslo;Název;Cizojazyènı název;Název 35;Název 20;Název 12;Název 7;Název 6;Název 3;Název ISC;Název ZDD;Kvalifikátor;Kvalifikátor - popis;Stav;Stav - popis;Km poloha;TUDU;TTP;Km polohy další;TUDU další;TTP další;X [S-JTSK (-Y)];Y [S-JTSK (-X)];GPS N (DMS);GPS E (DMS);GPS N (DEG);GPS E (DEG);Nadmoøská vıška (Bpv);VÚSC;VÚSC - popis;Vlastník;Provozovatel;Provozní obvod;Provozní obvod - popis;Oblastní øeditelství;Oblastní øeditelství - popis;Operativní øízení;Operativní øízení - popis;Dopravní uzel;Dopravní uzel - popis;Dálkové øízení;Dálkové øízení - popis
350488;Vítkovice  vıhybka è.1;-;Vítkovice vıhybka è.1;Vítkovice vıh.è.1;Vítkovice 1;-;-;-;-;Ostrava-Vítkovice;20;Odboèení v DVM;1;Aktivní;33,072;2561B1;301D;-;-;-;-471420,059;-1105109,558;"N49°48'11,374""";"E18°16'31,769""";N49,803159°;E18,275491°;0;810;Moravskoslezskı kraj;Stát;S;100107;Èeskı Tìšín;316000;Ostrava;100601;CDP Pøerov;835041;Ostrava-Vítkovice;350447;Ostrava-Vítkovice
350553;Jackov;-;Jackov;Jackov z;JACKOV;JACKOV;-;-;Jackov;-;61;Zastávka;1;Aktivní;4,457;125102;322B;-;-;-;-661340,355;-1171290,992;"N49°02'12,225""";"E15°45'51,649""";N49,036729°;E15,764347°;452,04;630;Kraj Vysoèina;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;-;-
350629;Tøebèín;-;Tøebèín;Tøebèín;TREBCIN;TREBCIN;TIN;TIN;Tøebèín;Tøebèín;3;Dopravna D3;1;Aktivní;28,427;2211L1;313A;-;-;-;-557201,713;-1125295,891;"N49°33'02,069""";"E17°07'05,308""";N49,550575°;E17,118141°;231,733;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;;;348623;Senice na Hané
350652;Lhotice u Jemnice;-;Lhotice u Jemnice;Lhotice u Jemnice z;LHOTICE U J.;LHOTIUJ;-;-;Lhotice u Jemnice;-;61;Zastávka;1;Aktivní;17,888;125104;322B;-;-;-;-672978,373;-1171542,626;"N49°01'19,070""";"E15°36'24,287""";N49,021964°;E15,606746°;474,322;630;Kraj Vysoèina;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;-;-
350751;Rácovice;-;Rácovice;Rácovice z;RACOVICE;RACOVIC;-;-;Rácovice;-;61;Zastávka;1;Aktivní;11,334;125102;322B;-;-;-;-667127,663;-1172037,795;"N49°01'25,909""";"E15°41'13,131""";N49,023864°;E15,686981°;475,775;630;Kraj Vysoèina;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;-;-
350850;Tøebelovice;-;Tøebelovice;Tøebelovice;TREBELOVICE;TREBLVC;TBL;TBL;Tøebelovice;Tøebelovice;3;Dopravna D3;1;Aktivní;13,906;1251B1;322B;-;-;-;-669292,055;-1172105,288;"N49°01'15,346""";"E15°39'27,755""";N49,020929°;E15,657710°;478,993;630;Kraj Vysoèina;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;350058;Moravské Budìjovice
350959;Vesce;-;Vesce;Vesce z;VESCE;VESCE;-;-;Vesce;-;61;Zastávka;1;Aktivní;132,48;120112;322A;-;-;-;-656688,88;-1173834,888;"N49°01'08,243""";"E15°49'53,840""";N49,018956°;E15,831622°;0;630;Kraj Vysoèina;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;-;-
351056;Moravskı Krumlov;-;Moravskı Krumlov;Moravskı Krumlov;MOR.KRUMLOV;MKRUMLV;MKR;MKR;Moravskı Krumlov;Moravskı Krumlov;1;eleznièní stanice;1;Aktivní;121,971;1271E1;323A;-;-;-;-619536,833;-1175034,097;"N49°02'47,228""";"E16°20'17,789""";N49,046452°;E16,338275°;0;640;Jihomoravskı kraj;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;349852;Moravské Bránice
351122;Unièov;-;Unièov;Unièov;UNICOV;UNICOV;UNV;UNV;Unièov;Unièov;1;eleznièní stanice;1;Aktivní;15,027;1362E1;311C;-;-;-;-554807,848;-1099978,106;"N49°46'45,222""";"E17°06'56,826""";N49,779228°;E17,115785°;237,819;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;;;346676;RDP Olomouc
351130;vl.v km 13,159;-;vl. v km 13,159;vl. v km 13,159;-;vlUNEX;-;-;-;-;29;Odboèení vleèky na širé trati;4;Zrušen;13,159;-;-;-;-;-;-552945,721;-1100336,41;"N49°46'39,752""";"E17°08'31,234""";N49,777709°;E17,142009°;0;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;;;-;-
