@lat	@lon	railway:ref	name
49.2582012	13.8490759	761221	Pracejovice
49.2630708	17.3798415	344952	Jarohněvice
49.2641031	14.1317394	756627	Putim
49.2641140	15.0749537	745323	Žďár u Kamenice nad Lipou
49.2677172	13.6173501	736256	Žichovice
49.2693973	13.8234401	761320	Katovice
49.2717311	15.4841376	749606	Hodice
49.2725303	16.0089888	367250	Budišov u Třebíče
49.2767514	16.6728275	330357	Babice nad Svitavou
49.2784123	16.9919145	368951	Vyškov na Moravě
49.2812039	15.0796797	745422	Rodinov
49.2819684	15.7632529	332858	Číchov
49.2836500	17.4032868	345058	Kotojedy
49.2847161	13.3441000	736850	Nemilkov
49.2851142	16.5662368	346650	Česká
49.2866505	18.0009952	354720	Leskovec
49.2874320	15.4819842	749705	Třešť město
49.2882879	13.8008582	761429	Dolní Poříčí
49.2914372	17.4912721	364851	Záhlinice
49.2916240	17.0596263	341552	Hoštice-Heroltice
49.2918284	17.4074151	339440	Kroměříž-Oskol
49.2922962	14.5114668	754622	Bežerovice
49.2933923	14.4827478	754721	Bechyně zastávka
49.2947711	14.5412277	754523	Sudoměřice u Bechyně
49.2949253	15.0748824	745521	Kamenice nad Lipou
49.2951753	13.4358261	736652	Kolinec
49.2953894	16.6634542	330159	Adamov
49.2964839	14.1429444	756528	Písek
49.2978461	15.9510128	367359	Rudíkov
49.2983689	15.4765169	749804	Třešť
49.3002178	14.4774865	754820	Bechyně
49.3009927	16.5346371	346551	Kuřim
49.3012318	16.6497967	330258	Adamov zastávka
49.3020525	17.4027474	344754	Kroměříž
49.3030979	18.0922463	335026	Huslenky
49.3048039	15.0428903	745620	Včelnička
49.3048625	18.0599392	354522	Hovězí
49.3051688	13.7789330	761528	Střelské Hoštice
49.3054526	15.9505301	361956	Vlčatín
49.3056882	15.7492420	332551	Bransouze
49.3061204	17.0873922	341453	Ivanovice na Hané
49.3081304	18.0199970	354621	Janová
49.3093736	18.1196750	335125	Huslenky zastávka
49.3097518	18.0033952	354928	Ústí u Vsetína zastávka
49.3097659	14.5537838	754424	Bechyňská Smoleč
49.3111787	15.3245682	758029	Horní Cerekev
49.3129654	14.1357956	730929	Písek zastávka
49.3137990	14.1615313	756429	Písek město
49.3138851	15.3559075	758102	Švábov
49.3160456	18.1421612	334128	Halenkov zastávka
49.3164641	17.4767310	339853	Hulín
49.3174835	15.3982382	758201	Batelov
49.3175727	17.5195084	340059	Třebětice
49.3190002	15.9667933	367151	Oslavička
49.3195236	16.4658036	364158	Čebín
49.3208868	17.3610715	345157	Postoupky
49.3209212	15.4816573	749903	Jezdovice
49.3212823	17.1113794	352955	Chvalkovice na Hané
49.3217324	14.7174902	735928	Doubí u Tábora
49.3220722	17.5416783	338756	Všetuly
49.3221901	18.1540100	334920	Halenkov
49.3226777	16.2132939	368456	Vlkov u Tišnova
49.3228387	15.7473901	332759	Dolní Smrčné
49.3245354	14.5662679	754325	Všechlapy
49.3272424	17.5708454	338558	Holešov
49.3272659	14.1103067	756536	Písek-Dobešice
49.3291362	15.0085756	745729	Benešov nad Lipou
49.3297527	16.1681239	368654	Osová Bítýška
49.3303258	15.4846120	750000	Salavice
49.3314518	13.7389665	738658	Horažďovice předměstí
49.3320425	17.3388265	344853	Bezměrov
49.3337872	14.5727206	754226	Třebelice
49.3345406	18.1774440	335323	Nový Hrozenkov zastávka
49.3345667	16.4373012	364356	Hradčany
49.3354549	17.9940931	354423	Vsetín
49.3358810	17.1612530	352856	Nezamyslice
49.3365812	16.2705697	368555	Níhov
49.3383054	15.9888865	367052	Oslavice
49.3407433	18.2040867	335224	Nový Hrozenkov
49.3417089	14.9842910	745828	Chválkov
49.3429744	15.4616620	758300	Dolní Cerekev
49.3435101	15.7414640	332650	Přímělkov
49.3437360	17.2471520	343269	Měrovice nad Hanou
49.3446971	17.2165324	352351	Němčice nad Hanou
49.3449235	17.6087741	338657	Dobrotice
49.3456117	17.3045570	343061	Kojetín
49.3457648	16.0218745	366856	Velké Meziříčí
49.3458701	13.7006042	738757	Velký Bor
49.3471840	16.4185640	363952	Tišnov
49.3490359	14.5798188	754127	Čenkov u Malšic
49.3496237	17.4552121	339952	Břest
49.3502878	18.2452383	353227	Karolinka
49.3503814	18.2319509	352724	Karolinka zastávka
49.3504369	16.1365342	345850	Ořechov
49.3524280	13.2036530	737650	Janovice nad Úhlavou
49.3525292	16.6471477	330951	Blansko
49.3527779	17.1616586	330654	Doloplazy
49.3527834	16.0088623	367458	Velké Meziříčí zastávka
49.3531406	14.7065955	736025	Planá nad Lužnicí
49.3551372	15.4889481	758417	Kostelec u Jihlavy masna
49.3561192	17.6229061	334656	Jankovice
49.3566100	16.3483757	364257	Dolní Loučky
49.3572172	15.4821290	758409	Kostelec u Jihlavy
49.3587381	18.2861819	353326	Velké Karlovice zastávka
49.3602204	14.5859063	754028	Malšice
49.3612759	16.6392399	331157	Blansko město
49.3622092	18.3013231	353128	Velké Karlovice
49.3622876	14.9653939	745927	Dobešov
49.3629837	15.7347596	348052	Bítovčice
49.3654389	16.3085586	359455	Řikonín
49.3691952	17.3613195	341057	Chropyně
49.3695794	15.7099496	347856	Luka nad Jihlavou
49.3701030	13.6655244	738856	Jetenovice
49.3701983	16.0439840	366955	Martinice u Velkého Meziříčí
49.3709848	17.6317240	335950	Hlinsko pod Hostýnem
49.3731028	16.3896901	364653	Štěpánovice
49.3739481	14.9654838	746024	Černovice u Tábora
49.3770789	17.9473603	338426	Jablůnka
49.3790711	17.4536969	359562	Říkovice
49.3795422	14.6973048	736124	Sezimovo Ústí
49.3812161	13.2375432	737551	Bezděkov u Klatov
49.3815989	14.6196996	753921	Libějice
49.3842079	13.0105490	769059	Starec
49.3842194	15.4985152	758508	Dvorce
49.3846356	16.0803974	345751	Křižanov
49.3846978	14.9426485	746032	Střítež u Černovic
49.3849903	14.6291098	753822	Slapy
49.3869069	14.9385029	746123	Křeč
49.3872909	16.6338721	331058	Dolní Lhota
49.3874562	17.1887372	330753	Pivín
49.3913786	13.6203133	738955	Pačejov
49.3930373	14.6930596	736132	Tábor-Čápův Dvůr
49.3932234	17.6653344	335851	Bystřice pod Hostýnem
49.3954819	14.6425879	753723	Horky u Tábora
49.3993066	12.8683947	747956	Babylon
49.4011614	16.3661152	364059	Borač
49.4014699	13.2741805	737452	Klatovy
49.4022772	15.6315053	347955	Malý Beranov
49.4037326	15.5836515	342253	Jihlava město
49.4066301	14.9458096	746222	Sudkův Důl
49.4067627	15.5132469	758607	Rantířov
49.4080888	16.6277047	358051	Rájec-Jestřebí
49.4082002	17.4161885	341156	Věžky
49.4102984	15.5680913	342055	Jihlava-Staré Hory
49.4104703	17.7151478	336057	Loukov
49.4119820	17.1913082	330555	Čelčice
49.4137243	13.6129497	738963	Kovčín
49.4139552	14.6767603	736223	Tábor
49.4144538	15.5990365	342154	Jihlava
49.4149761	17.4524595	346726	Horní Moštěnice
49.4171820	17.9587074	338525	Bystřička
49.4189706	16.3669978	364554	Prudká zastávka
49.4201988	12.8396983	735555	Trhanov
49.4224030	14.9490137	746529	Obrataň zastávka
49.4231724	17.7422872	354753	Osíčko
49.4283461	16.3518298	352252	Doubravník
49.4285378	14.9534057	007021	Obrataň-JHMD
49.4289295	14.9534616	746321	Obrataň
49.4294812	13.3093695	754150	Točník
49.4309045	13.8725786	747220	Blatná
49.4320976	17.7973224	346460	Rajnochovice
49.4351051	12.9430344	735159	Domažlice
49.4371313	16.0541631	360552	Sklené nad Oslavou
49.4372551	17.9670382	351726	Brňov
49.4383921	13.6105286	739052	Nekvasovy
49.4389048	13.8095632	747121	Tchořovice
49.4393152	16.6215154	359950	Doubravice nad Svitavou
49.4401627	17.8185175	346361	Kunovice-Loučka
49.4417068	17.1665777	330456	Bedihošť
49.4417394	14.3778402	755520	Milevsko
49.4437151	13.7900937	747022	Lnáře
49.4437662	15.6084529	341958	Jihlava-Bosch Diesel
49.4457951	14.5988690	755025	Balkova Lhota
49.4473851	17.4453187	346627	Přerov
49.4497572	13.7733206	746925	Hradiště u Blatné
49.4505860	17.8680895	332460	Police u Valašského Meziříčí
49.4517463	16.2703373	359356	Věžná
49.4545803	16.3360180	352153	Nedvědice
49.4569092	13.7442156	746834	Kasejovice
49.4589239	15.6254687	336750	Střítež u Jihlavy
49.4594368	17.9058081	332361	Branky na Moravě
49.4603341	18.1346342	347823	Rožnov pod Radhoštěm
49.4608123	17.3737269	331520	Rokytnice u Přerova
49.4609813	18.0943255	348029	Zubří
49.4620248	13.6083546	739151	Mileč
49.4629314	13.6659990	746636	Kotouň
49.4634077	13.6913480	746735	Životice
49.4652452	18.0647423	347922	Střítež nad Bečvou
49.4680108	16.0154110	360651	Laštovičky
49.4680400	18.0411958	352120	Zašová
49.4690656	13.6304832	746537	Želvice
49.4721506	17.1295641	357053	Prostějov hlavní nádraží
49.4723968	14.6693219	552760	Chotoviny
49.4729269	16.2450001	359257	Rožná
49.4737402	13.2907478	753954	Švihov u Klatov
49.4745077	17.9613005	351627	Valašské Meziříčí
49.4762448	18.0047338	351825	Hrachovec
49.4770202	17.9898741	351924	Krhová
49.4782638	15.6417252	336552	Dobronín
49.4787052	17.1115789	357251	Prostějov místní nádraží
49.4797967	16.6098504	359851	Skalice nad Svitavou
49.4819195	13.6144241	746438	Třebčice
49.4820329	17.3374129	331421	Brodek u Přerova
49.4827988	17.1507234	357129	Vrahovice
49.4864003	17.1809515	353524	Kraličky
49.4911908	16.6516703	332056	Boskovice
49.4956605	15.9915841	355057	Ostrov nad Oslavou
49.4958195	13.3049584	753855	Červené Poříčí
49.4976070	13.6088141	739250	Nepomuk
49.4996680	16.5986700	360057	Svitávka
49.5018519	17.1976695	353425	Vrbátky
49.5032673	17.4847822	346528	Prosenice
49.5038392	17.9328271	352021	Lhotka nad Bečvou
49.5072316	15.6551386	336859	Kamenná
49.5090733	17.0650384	343855	Kostelec na Hané
49.5096449	18.7515782	341149	Mosty u Jablunkova zastávka
49.5098900	14.0343755	730226	Mirovice
49.5133782	16.2484038	335554	Bystřice nad Pernštejnem
49.5134800	17.0967632	332924	Čelechovice na Hané
49.5170107	17.5224037	346429	Osek nad Bečvou
