SR70;Èíslo;Tarifní název;Název 35;Název 20;Název 12;Název 7;Název 3;Zkratka;Km poloha;Kvalifikátor;Kvalifikátor-Popis;Stav;Stav-Popis;Obsazení;TUDU;DDR;DDR-Popis;OOØ;PO;PO-Popis;OØ;OØ-Popis;Vlastník;Provozovatel;Kraj;Kraj-Popis;JTSK Y;JTSK X;GPS X;GPS Y;Dopr. uzel;
559922;55992200;Vl.ŠKODA Ml.Boleslav;Vl. ŠKODA AUTO, závod Ml. Boleslav;Vleèka Škoda Auto;-;SkodaMB;-;MBV SK;19,57;81;Samostatné kolejištì vleèky;1;Aktivní;9;1431BA;-;-;100545;100222;Kolín;311001;Praha;266/94Sb§3;266/94Sb§3;210;Støedoèeskı;-701197;-1012279;"E14°56'32,260""";"N50°24'39,774""";;-1
567412;56741200;Vl.Teplár.Dvùr Král.;Vleèka Teplárna Dvùr Králové n. L.;Vleèka km 3,130;-;vlTepDK;-;-;3,13;81;Samostatné kolejištì vleèky;1;Aktivní;9;1601FA;-;-;100545;100255;Liberec;314005;Hradec Králové;266/94Sb§3;266/94Sb§3;520;Královehradeckı;-640614;-1018405;"E15°47'55,786""";"N50°25'25,674""";;-1
581207;58120700;Vl.TONASO Neštìmice;Vleèka PZ TONASO Neštìmice;Vleèka TONASO;-;TONASO;-;-;2,058;81;Samostatné kolejištì vleèky;1;Aktivní;9;0801WA;-;-;100552;100479;Ústí nad Labem;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;420;Ústeckı;-755828,11;-975538,241;"E14°06'31,296""";"N50°40'19,440""";;-1
562983;56298300;Vl.Transpedia;Vleèka Transpedia;Transpedia;Transpedia;Transpe;-;-;2,592;81;Samostatné kolejištì vleèky;1;Aktivní;9;0861HA;-;-;100552;100131;Dìèín;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;420;Ústeckı;-730304;-965024;"E14°26'46,310""";"N50°47'50,590""";;-1
544619;54461900;Vl.UNION lesní brána;Vleèka UNION lesní brána;Vleèka OBAS;-;vlUNION;-;-;0,74;81;Samostatné kolejištì vleèky;1;Aktivní;9;0641ID;-;-;100552;100479;Ústí nad Labem;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;420;Ústeckı;-776959;-974047;"E13°48'35,444""";"N50°39'29,813""";;-1
533893;53389300;Vl.ÚU Herkules;Vleèka CCG, Úpravna uhlí Herkules;MUS ÚU Herkules;-;vlUUHer;-;-;2,1;81;Samostatné kolejištì vleèky;3;Mimo provoz;9;-;-;-;100552;100305;Most;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;420;Ústeckı;-793695,563;-983100,231;"E13°35'40,486""";"N50°33'20,946""";;-1
740597;74059700;vl.v km 0,251;vl. v km 0,251;Vleèka Fortit;-;vlSpela;-;-;0,251;81;Samostatné kolejištì vleèky;1;Aktivní;9;0191DA;-;-;100552;100198;Karlovy Vary;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;410;Karlovarskı;-856838;-1007763;"E12°46'11,155""";"N50°14'59,878""";;-1
544692;54469200;vl.v km 0,344;vl. v km 0,344;vl. v km 0,344;-;vhbF1;-;-;0,344;29;Odboèení vleèky;1;Aktivní;9;0641IC;-;-;100552;100479;Ústí nad Labem;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-777047,39;-974514,553;"E13°48'34,429""";"N50°39'14,427""";;-1
537878;53787800;vl.v km 0,690;vl. v km 0,690;vl. v km 0,690;-;vlPrefa;-;-;0,69;20;Odboèení ve stanici nebo v jiném DVM;1;Aktivní;9;0503BA;537795;atec;100552;100305;Most;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-800389,844;-1005936,042;"E13°32'55,691""";"N50°20'37,959""";;-1
357061;35706100;vl.v km 0,714;vl. v km 0,714;vl. v km 0,714;-;vlTOMI;-;-;0,714;29;Odboèení vleèky;1;Aktivní;9;1911L1;-;-;100560;100339;Olomouc;317008;Olomouc;Stát;SDC;710;Olomouckı;-557381,464;-1133444,653;"E17°07'37,220""";"N49°28'39,039""";;-1
732073;73207300;vl.v km 0,900;vl. v km 0,900;vl.v km 0,900;-;vlKovoR;-;-;0,9;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100545;100388;Plzeò;-;nezadaná;Stát;SDC;0;nezadanı;-806557,653;-1073900,766;"E13°36'12,976""";"N49°43'52,671""";;-1
780247;78024700;vl.v km 0,909;vl. v km 0,909;vl. v km 0,909;-;vlFerCB;-;-;0,909;29;Odboèení vleèky;1;Aktivní;9;0401HW;732826;È.Budìjovice os.n.;100545;100099;Èeské Budìjovice;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-754899,191;-1165417,482;"E14°29'08,096""";"N48°58'56,157""";;-1
542142;54214200;vl.v km 0,913;vl. v km 0,913;vl. v km 0,925;-;vlDex;-;-;0,913;29;Odboèení vleèky;3;Mimo provoz;9;1221B1;-;-;100560;100180;Jihlava;315002;Brno;Stát;SDC;630;Vysoèina;-667398,039;-1107322,567;"E15°34'34,233""";"N49°36'04,618""";;-1
340935;34093500;vl.v km 1,012;vl. v km 1,012;vl. v km 1,012;-;vlAlibo;-;-;1,012;29;Odboèení vleèky;1;Aktivní;9;1953D1;-;-;100560;100339;Olomouc;317008;Olomouc;Stát;SDC;710;Olomouckı;-559772,464;-1109190,745;"E17°03'36,702""";"N49°41'32,297""";;-1
571661;57166100;vl.v km 1,120;vl.v km 1,120;vl. v km 1,120;vl.km 1,120;km4,287;-;-;1,12;29;Odboèení vleèky;1;Aktivní;9;114202;-;-;100552;100255;Liberec;314005;Hradec Králové;Stát;SDC;510;Libereckı;-713165,1;-983573,1;"E14°43'19,056""";"N50°39'10,124""";;-1
732081;73208100;vl.v km 1,160;vl. v km 1,160;vl.v km 1,160;-;vlPilaR;-;-;1,16;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100545;100388;Plzeò;-;nezadaná;Stát;SDC;0;nezadanı;-806474,256;-1074142,092;"E13°36'18,869""";"N49°43'45,342""";;-1
740332;74033200;vl.v km 1,263;vl. v km 1,263;Odb vıh.è.201;-;vlTechn;-;-;1,263;29;Odboèení vleèky;3;Mimo provoz;9;0471CC;-;-;100545;100099;Èeské Budìjovice;312009;Plzeò;266/94Sb§3;266/94Sb§3;310;Jihoèeskı;-760394;-1141250;"E14°21'57,544""";"N49°11'26,964""";;-1
